G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9,G2.L63QTX
0.0,0.08544400334,0.0,72.18317413,0.0
0.0,0.04861801863,0.0,72.35948944,0.0
0.0,0.08364990354,0.0,72.34371185,0.0
0.0,0.09661540389,0.0,72.38583374,0.0
0.0,0.09407028556,0.0,72.7722702,0.0
0.0,0.09417459369,0.0,73.22431183,0.0
0.0,0.09693875909,0.0,73.38244629,0.0
0.0,0.1164078712,0.0,73.7215271,0.0
0.0,0.09226053953,0.0,74.15115356,0.0
0.0,0.1174978912,0.0,74.23542023,0.0
0.0,0.1011997461,0.0,74.47064209,0.0
0.0,0.1158133149,0.0,74.93486023,0.0
0.0,0.08569434285,0.0,75.15061188,0.0
0.0,0.1171901822,0.0,75.49988556,0.0
0.0,0.1280799508,0.0,75.75138092,0.0
0.0,0.1314647496,0.0,75.95825195,0.0
0.0,0.1289613545,0.0,76.00579071,0.0
0.0,0.08635148406,0.0,76.24833679,0.0
0.0,0.1263067126,0.0,76.50448608,0.0
0.0,0.09744986892,0.0,76.74876404,0.0
0.0,0.09376779199,0.0,76.98995209,0.0
0.0,0.1164756715,0.0,76.99160767,0.0
0.0,0.0802077353,0.0,77.29413605,0.0
0.0,0.1143790781,0.0,77.46660614,0.0
0.0,0.09351223707,0.0,77.50492859,0.0
0.0,0.08469298482,0.0,77.75060272,0.0
0.0,0.1092731953,0.0,77.99640656,0.0
0.0,0.08095353842,0.0,78.18005371,0.0
0.0,0.09883716702,0.0,78.32116699,0.0
0.0,0.06584972143,0.0,78.19291687,0.0
0.0,0.07049143314,0.0,78.46664429,0.0
0.0,0.09367913008,0.0,78.70832825,0.0
0.0,0.08155852556,0.0,78.67549896,0.0
0.0,0.06575062871,0.0,78.90457153,0.0
0.0,0.07878914475,0.0,78.94017029,0.0
0.0,0.1003548503,0.0,78.93283844,0.0
0.0,0.09429454803,0.0,79.09235382,0.0
0.0,0.1174457371,0.0,79.13947296,0.0
0.0,0.06272047758,0.0,79.36995697,0.0
0.0,0.09729862213,0.0,79.47088623,0.0
0.0,0.06905198097,0.0,79.43441772,0.0
0.0,0.1012101769,0.0,79.43300629,0.0
0.0,0.06929710507,0.0,79.71052551,0.0
0.0,0.05677491426,0.0,79.6411438,0.0
0.0,0.1135863364,0.0,79.59114075,0.0
0.0,0.0486753881,0.0,79.71250916,0.0
0.0,0.06794631481,0.0,79.74723816,0.0
0.0,0.06437376142,0.0,79.82989502,0.0
