G2.L2TV,G2.CPD,G2.TNL,G2.TTXD1_9
1.0,80.27094269,89.42473602,841.4892578
1.0,79.93267822,89.23468018,840.8182983
1.0,80.06240082,89.25421143,841.4765015
1.0,79.78892517,89.0787735,839.4518433
1.0,79.89675903,88.94772339,833.9087524
1.0,79.70253754,88.67759705,831.708252
1.0,79.97611237,88.93663788,837.1272583
1.0,79.86089325,88.83148956,833.1392822
1.0,80.08392334,88.88679504,832.7116089
1.0,80.32116699,89.08402252,833.6907959
1.0,79.98317719,89.12542725,834.7666626
1.0,79.79610443,88.88833618,835.7149658
1.0,80.11991882,89.09359741,836.8435669
1.0,79.17011261,88.45232391,835.708313
1.0,79.46516418,88.65648651,835.7563477
1.0,79.70983887,88.75018311,836.9141235
1.0,79.05499268,88.58252716,836.6098022
1.0,79.20619202,88.53856659,836.3355103
1.0,79.32130432,88.7069931,836.9454346
1.0,79.34281158,88.56573486,837.3001099
1.0,78.94705963,88.39450836,836.6011353
1.0,79.09819794,88.21425629,833.6519775
1.0,79.00479126,88.01513672,832.3139038
1.0,79.1989212,87.60374451,823.87854
1.0,79.33555603,87.88448334,823.3238525
1.0,78.97592163,87.82080841,819.3340454
1.0,79.30678558,87.77310944,817.2321777
1.0,78.86784363,87.31262207,815.9324341
1.0,79.27803802,88.29154205,818.9819336
1.0,79.23474121,88.64608765,821.7248535
1.0,79.81774139,89.40887451,825.607666
1.0,80.09841156,89.96984863,828.4827271
1.0,80.11270142,89.88550568,828.682312
1.0,80.01921844,89.99978638,831.6426392
1.0,79.94714355,90.09098053,833.1673584
1.0,80.40765381,90.33072662,835.5968628
1.0,80.73153687,90.28945923,838.1021729
1.0,80.26377869,90.14755249,838.168457
1.0,79.91118622,89.72480774,839.5464478
1.0,80.04077911,89.66939545,839.0272827
1.0,79.61631012,89.71071625,839.9101563
1.0,79.73142242,89.6844101,840.2111816
1.0,79.91851807,89.8141861,841.3213501
1.0,80.08382416,90.08908844,844.0303955
1.0,79.68824768,90.05341339,845.4553833
